,TICKER,coeff,weight
0,AC.MX,0.0,0.0
1,ACTINVRB.MX,0.0,0.0
2,AEROMEX.MX,0.0,0.0
3,AGUA.MX,0.0,0.0
4,ALEATIC.MX,0.0,0.0
5,ALFAA.MX,0.0,0.0
6,ALPEKA.MX,0.0,0.0
7,ALSEA.MX,0.0,0.0
8,AMXL.MX,0.0,0.0
9,ANB.MX,0.0,0.0
10,ASURB.MX,0.0,0.0
11,AUTLANB.MX,0.0,0.0
12,AXTELCPO.MX,0.0,0.0
13,AZTECACPO.MX,0.0,0.0
14,BACHOCOB.MX,0.0,0.0
15,BAFARB.MX,2.579112343621819,10.203295924054022
16,BBAJIOO.MX,0.0,0.0
17,BBVA.MX,0.0,0.0
18,BIMBOA.MX,0.01742865881755567,0.06894998735307883
19,BOLSAA.MX,0.0,0.0
20,BSMX,0.0,0.0
21,CEMEXCPO.MX,0.8796539441804683,3.4800227006128024
22,CHDRAUIB.MX,0.0,0.0
23,CIDMEGA.MX,0.0,0.0
24,CIEB.MX,0.0,0.0
25,CMOCTEZ.MX,0.0,0.0
26,CMRB.MX,0.0,0.0
27,CUERVO.MX,0.0,0.0
28,CULTIBAB.MX,0.0,0.0
29,CYDSASAA.MX,0.0,0.0
30,ELEKTRA.MX,0.0,0.0
31,FEMSAUBD.MX,0.0,0.0
32,FINAUSABF.MX,2.9209868350799653,11.555794823087803
33,FINDEP.MX,0.0,0.0
34,FRAGUAB.MX,0.0,0.0
35,GAPB.MX,0.0,0.0
36,GCARSOA1.MX,0.0,0.0
37,GCC.MX,0.0,0.0
38,GENTERA.MX,0.0,0.0
39,GFAMSAA.MX,0.0,0.0
40,GFINBURO.MX,0.0,0.0
41,GFNORTEO.MX,0.0,0.0
42,GICSAB.MX,0.0,0.0
43,GIGANTE.MX,0.0,0.0
44,GISSAA.MX,0.0,0.0
45,GMD.MX,0.0,0.0
46,GMEXICOB.MX,0.0,0.0
47,GMXT.MX,0.0,0.0
48,GNP.MX,6.366431072305274,25.18640972405361
49,GPROFUT.MX,0.0,0.0
50,GRUMAB.MX,0.0,0.0
51,GSANBORB-1.MX,0.0,0.0
52,HCITY.MX,0.0,0.0
53,HERDEZ.MX,0.0,0.0
54,HOMEX.MX,0.0,0.0
55,HOTEL.MX,0.0,0.0
56,KIMBERA.MX,0.0,0.0
57,KOF,0.0,0.0
58,KUOB.MX,0.0,0.0
59,LABB.MX,0.0,0.0
60,LACOMERUBC.MX,0.08295285662230291,0.3281720340550971
61,LALAB.MX,0.0,0.0
62,LAMOSA.MX,5.882962364686967,23.273746126421326
63,MEDICAB.MX,1.7706069163434186,7.004745790661737
64,MEGACPO.MX,0.0,0.0
65,MFRISCOA-1.MX,0.0,0.0
66,MINSAB.MX,0.0,0.0
67,MONEX28BMC-1.MX,0.0,0.0
68,NEMAKA.MX,0.0,0.0
69,OMAB.MX,0.0,0.0
70,ORBIA.MX,0.0,0.0
71,PASAB.MX,0.0,0.0
72,PINFRA.MX,0.0,0.0
73,POCHTECB.MX,0.6194699848034435,2.4507019194607023
74,POSADASA.MX,0.0,0.0
75,PROCORPB.MX,0.0,0.0
76,Q.MX,0.0,0.0
77,RLHA.MX,0.0,0.0
78,SAN.MX,0.0,0.0
79,SIMECB.MX,2.829256065493151,11.192896250735918
80,SORIANAB.MX,0.0,0.0
81,SPORTS.MX,0.0,0.0
82,SRE.MX,0.0,0.0
83,TEAKCPO.MX,0.0,0.0
84,TLEVISACPO.MX,0.0,0.0
85,TMMA.MX,0.0,0.0
86,TRAXIONA.MX,1.3283862594948102,5.2552647195039
87,TS.MX,0.0,0.0
88,UNIFINA.MX,0.0,0.0
89,URBI.MX,0.0,0.0
90,VALUEGFO.MX,0.0,0.0
91,VASCONI.MX,0.0,0.0
92,VESTA.MX,0.0,0.0
93,VINTE.MX,0.0,0.0
94,VITROA.MX,0.0,0.0
95,VOLARA.MX,0.0,0.0
96,WALMEX.MX,0.0,0.0
